srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,50:c7:bf:b1:d2:78,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,12348,36
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,18290,31
50:c7:bf:b1:d2:78,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,10030,17
50:c7:bf:b1:d2:78,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,uk.pool.ntp.org,17,*,123,1001,*,*,0,0
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,0.cn.pool.ntp.org|1.asia.pool.ntp.org,17,*,123,1001,*,*,0,0
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,1.asia.pool.ntp.org,17,*,123,1001,*,*,0,0
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,0,0
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,s1b.time.edu.cn,17,*,123,1001,*,*,450,5
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,s1a.time.edu.cn,17,*,123,1001,*,*,450,5
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,time-b.nist.gov,17,*,123,1001,*,*,180,2
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,time-a.nist.gov,17,*,123,1001,*,*,180,2
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,23727,292
8a:60:8a:92:83:f6,50:c7:bf:b1:d2:78,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,50:c7:bf:b1:d2:78,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,50:c7:bf:b1:d2:78,0x0800,*,*,*,1,*,*,1000,*,*,124,2
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,50:c7:bf:b1:d2:78,0x0800,*,*,*,17,123,*,1000,*,*,630,7
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,1080,12
8a:60:8a:92:83:f6,50:c7:bf:b1:d2:78,*,*,*,*,17,53,*,1000,*,*,121245,293
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,75,1
*,50:c7:bf:b1:d2:78,0x0806,*,*,*,*,*,*,1000,*,*,11760,196
50:c7:bf:b1:d2:78,*,0x0806,*,*,*,*,*,*,1000,*,*,8820,207
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,39632,256
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,30679,197
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,39568,255
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,33194,213
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,33003,213
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,2049,12
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,4964,27
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,6359,39
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,2367,12
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,12131,64
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,19238,119
50:c7:bf:b1:d2:78,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,19028,116
