srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,10034,29
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,13570,23
50:c7:bf:5a:2e:a0,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2950,5
50:c7:bf:5a:2e:a0,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,uk.pool.ntp.org,17,*,123,1001,*,*,0,0
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,0.cn.pool.ntp.org,17,*,123,1001,*,*,0,0
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,s1b.time.edu.cn,17,*,123,1001,*,*,180,2
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,20376,252
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,*,*,1,*,*,1000,*,*,186,3
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,*,*,17,123,*,1000,*,*,630,7
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,630,7
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,*,*,*,*,17,53,*,1000,*,*,53099,256
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,75,1
*,50:c7:bf:5a:2e:a0,0x0806,*,*,*,*,*,*,1000,*,*,7302,173
50:c7:bf:5a:2e:a0,*,0x0806,*,*,*,*,*,*,1000,*,*,7326,174
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,42465,273
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,51433,330
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,57945,370
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,53227,339
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,48775,310
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,devs.tplinkcloud.com,6,*,443,855,*,*,2317,15
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,53043,337
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,72327,464
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,37078,242
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,70603,457
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,devs.tplinkcloud.com,6,*,443,855,*,*,2308,16
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,55991,360
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,devs.tplinkcloud.com,6,*,443,855,*,*,108,2
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
50:c7:bf:5a:2e:a0,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,26412,245
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,136570,206
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,169197,254
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,192295,293
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,172631,263
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,159388,244
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,devs.tplinkcloud.com,*,6,443,*,750,*,*,4821,10
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,173619,265
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,236775,357
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,121745,183
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,229895,350
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,devs.tplinkcloud.com,*,6,443,*,750,*,*,5634,12
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,181951,277
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,devs.tplinkcloud.com,*,6,443,*,750,*,*,163,2
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,50:c7:bf:5a:2e:a0,0x0800,*,*,*,6,*,*,700,*,*,71128,236
*,50:c7:bf:5a:2e:a0,0x0800,*,*,*,6,*,9999,655,*,*,69728,800
50:c7:bf:5a:2e:a0,*,0x0800,*,*,*,6,9999,*,650,*,*,60783,771
50:c7:bf:5a:2e:a0,*,0x888e,*,*,*,*,*,*,650,*,*,2122,18
50:c7:bf:5a:2e:a0,*,0x0800,*,*,*,17,48899,*,610,*,*,2714,46
*,50:c7:bf:5a:2e:a0,0x0800,*,*,*,17,*,48899,610,*,*,2714,46
*,50:c7:bf:5a:2e:a0,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,50:c7:bf:5a:2e:a0,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,50:c7:bf:5a:2e:a0,0x0800,*,*,*,17,*,*,600,*,*,59,1
*,50:c7:bf:5a:2e:a0,0x0800,*,*,*,6,*,*,600,*,*,74,1
