srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,25650,75
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,0,0
f4:b8:5e:68:8f:35,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,528732,1546
f4:b8:5e:68:8f:35,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,18740,459
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,22264,253
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,434,7
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,*,*,1,*,*,1000,*,*,1550,25
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,*,*,17,123,*,1000,*,*,0,0
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,*,*,*,*,17,53,*,1000,*,*,30840,257
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,88,1
*,f4:b8:5e:68:8f:35,0x0806,*,*,*,*,*,*,1000,*,*,33900,565
f4:b8:5e:68:8f:35,*,0x0806,*,*,*,*,*,*,1000,*,*,30180,623
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,3.122.20.82,6,*,443,855,*,*,10927945,14414
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,52.57.77.59,6,*,443,855,*,*,8677424,11459
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,3.120.66.108,6,*,443,855,*,*,9139092,12162
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,18.197.211.94,6,*,443,855,*,*,11971258,15867
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,VS-cam.prde.immedia-semi.com,6,*,443,855,*,*,3105726,4590
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,35.158.42.62,6,*,443,855,*,*,9181717,12087
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,VS-cam.prde.immedia-semi.com,6,*,443,855,*,*,3405924,5059
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,18.195.190.132,6,*,443,855,*,*,10619219,14036
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,IS-cam.prde.immedia-semi.com,6,*,443,855,*,*,4344,33
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,0,0
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,558,9
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,3.122.20.82,*,6,443,*,750,*,*,740208,11326
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,52.57.77.59,*,6,443,*,750,*,*,663343,10183
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,3.120.66.108,*,6,443,*,750,*,*,560295,8581
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,18.197.211.94,*,6,443,*,750,*,*,910975,13916
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,VS-cam.prde.immedia-semi.com,*,6,443,*,750,*,*,359668,4556
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,35.158.42.62,*,6,443,*,750,*,*,630637,9671
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,VS-cam.prde.immedia-semi.com,*,6,443,*,750,*,*,390532,4978
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,18.195.190.132,*,6,443,*,750,*,*,799150,12299
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,IS-cam.prde.immedia-semi.com,*,6,443,*,750,*,*,12003,60
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,*,*,6,*,*,700,*,*,0,0
f4:b8:5e:68:8f:35,*,0x888e,*,*,*,*,*,*,650,*,*,55486,448
*,f4:b8:5e:68:8f:35,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,f4:b8:5e:68:8f:35,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,f4:b8:5e:68:8f:35,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,f4:b8:5e:68:8f:35,0x0800,*,*,*,6,*,*,600,*,*,0,0
