srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
98:da:c4:47:93:fe,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,84,2
98:da:c4:47:93:fe,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,590,1
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,961,12
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,1,*,*,1000,*,*,218,2
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,17,123,*,1000,*,*,90,1
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,90,1
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,*,*,*,*,17,53,*,1000,*,*,4358,10
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,72,1
*,98:da:c4:47:93:fe,0x0806,*,*,*,*,*,*,1000,*,*,1764,42
98:da:c4:47:93:fe,*,0x0806,*,*,*,*,*,*,1000,*,*,1764,42
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-devs.tplinkcloud.com,6,*,443,855,*,*,106868,282
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-devs.tplinkcloud.com,6,*,443,855,*,*,1312,10
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,7278,73
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,6978,70
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,4219,38
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-devs.tplinkcloud.com,6,*,443,855,*,*,26717,79
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-deventry.tplinkcloud.com,6,*,443,855,*,*,1355,10
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,406,7
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-devs.tplinkcloud.com,*,6,443,*,750,*,*,40864,263
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-devs.tplinkcloud.com,*,6,443,*,750,*,*,3287,10
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,30361,55
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,30306,54
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,euw1-api.tplinkra.com,*,6,443,*,750,*,*,16794,28
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-devs.tplinkcloud.com,*,6,443,*,750,*,*,13168,76
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-deventry.tplinkcloud.com,*,6,443,*,750,*,*,3426,11
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,6,*,*,700,*,*,0,0
98:da:c4:47:93:fe,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,98:da:c4:47:93:fe,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,6,*,*,600,*,*,0,0
