srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,17493,51
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,12654,37
58:ef:68:99:7d:ed,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,20694,389
58:ef:68:99:7d:ed,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,69979,155
58:ef:68:99:7d:ed,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,630,11
58:ef:68:99:7d:ed,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,11970,35
58:ef:68:99:7d:ed,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.5.41.41,17,*,123,1001,*,*,360,4
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.43.244.18,17,*,123,1001,*,*,0,0
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,208.184.49.9,17,*,123,1001,*,*,0,0
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.5.41.209,17,*,123,1001,*,*,1260,14
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,4.2.2.2,1,*,*,1001,8,0,686,7
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,13511,186
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,130.149.17.8,17,*,123,1001,*,*,720,8
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,129.132.2.21,17,*,123,1001,*,*,180,2
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,3,0,252,2
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,1078,11
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
