srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,688,2
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
98:da:c4:47:93:fe,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,932,2
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,53,1001,*,*,737,9
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,1,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,17,123,*,1000,*,*,90,1
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,90,1
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,*,*,*,*,17,53,*,1000,*,*,1244,8
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,72,1
*,98:da:c4:47:93:fe,0x0806,*,*,*,*,*,*,1000,*,*,42,1
98:da:c4:47:93:fe,*,0x0806,*,*,*,*,*,*,1000,*,*,84,2
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,6508,61
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,4785,44
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,1557,14
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,3787,30
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-devs.tplinkcloud.com,6,*,50443,855,*,*,147779,367
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-deventry.tplinkcloud.com,6,*,443,855,*,*,1870,10
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,348,6
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,29733,42
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,22231,31
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,7394,10
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,euw1-api.tplinkra.com,*,6,443,*,750,*,*,15036,21
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-devs.tplinkcloud.com,*,6,50443,*,750,*,*,58033,412
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-deventry.tplinkcloud.com,*,6,443,*,750,*,*,3318,9
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,6,*,*,700,*,*,85,1
98:da:c4:47:93:fe,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,98:da:c4:47:93:fe,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,6,*,*,600,*,*,0,0
