srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,1650,25
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,4704,112
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1324,4
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.88.59.209,1,*,*,1001,3,3,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.90.240.160,1,*,*,1001,3,3,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.74.255.9,1,*,*,1001,3,3,196,2
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,1396,18
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,1000,*,*,2888,8
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,302,3
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,*,*,*,*,17,53,*,1000,*,*,9619,18
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,77,1
*,0c:8c:24:0b:39:7b,0x0806,*,*,*,*,*,*,1000,*,*,5880,140
0c:8c:24:0b:39:7b,*,0x0806,*,*,*,*,*,*,1000,*,*,1386,33
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,49.51.203.28,6,*,443,855,*,*,30612,420
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,download.eu.xiaoyi.com,6,*,80,855,*,*,43799,637
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.eu.xiaoyi.com,6,*,443,855,*,*,27968,238
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.eu.xiaoyi.com,6,*,80,855,*,*,962,11
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,147.161.9.180,17,*,26903,810,*,*,12606946,37164
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,348,6
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,296,4
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,49.51.203.28,*,6,443,*,750,*,*,33516,461
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,download.eu.xiaoyi.com,*,6,80,*,750,*,*,2685445,2218
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,443,*,750,*,*,86201,208
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,80,*,750,*,*,1706,8
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,147.161.9.180,*,17,26903,*,710,*,*,968500,18604
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,700,*,*,46,1
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,700,*,*,0,0
0c:8c:24:0b:39:7b,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
0c:8c:24:0b:39:7b,*,0x0800,*,*,*,17,27110,*,610,*,*,506,11
0c:8c:24:0b:39:7b,*,0x0800,*,*,*,17,26779,*,610,*,*,11418,173
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,26779,610,*,*,11418,173
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,27110,610,*,*,506,11
*,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,600,*,*,112,2
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,600,*,*,0,0
