srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,37278,109
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
f4:b8:5e:31:73:db,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,186390,545
f4:b8:5e:31:73:db,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,4660,233
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,0,0,372,6
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,19624,223
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,1,*,*,1000,*,*,1674,27
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,62,1
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,17,123,*,1000,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,*,*,*,*,17,53,*,1000,*,*,81438,226
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,88,1
*,f4:b8:5e:31:73:db,0x0806,*,*,*,*,*,*,1000,*,*,26532,630
f4:b8:5e:31:73:db,*,0x0806,*,*,*,*,*,*,1000,*,*,15432,367
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,1994,16
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,35.169.248.142,6,*,443,855,*,*,5185947,7480
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,577788,1015
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,52.201.206.170,6,*,443,855,*,*,5030857,8127
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,107.23.68.99,6,*,443,855,*,*,6099035,10292
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,52.4.90.229,6,*,443,855,*,*,7145574,10239
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,732959,1285
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,54.160.195.27,6,*,443,855,*,*,5721989,9162
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,52.20.163.187,6,*,443,855,*,*,6697288,10065
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,822882,1339
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,1013165,1594
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,2308,18
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,2315,17
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,806,13
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,3879,18
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,35.169.248.142,*,6,443,*,750,*,*,338572,5510
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,82246,913
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,52.201.206.170,*,6,443,*,750,*,*,406179,6535
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,107.23.68.99,*,6,443,*,750,*,*,510839,8179
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,52.4.90.229,*,6,443,*,750,*,*,461952,7492
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,110285,1178
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,54.160.195.27,*,6,443,*,750,*,*,437187,6980
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,52.20.163.187,*,6,443,*,750,*,*,482440,7889
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,104117,1258
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,120090,1520
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,3553,17
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,4026,22
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,6,*,*,700,*,*,60,1
f4:b8:5e:31:73:db,*,0x888e,*,*,*,*,*,*,650,*,*,59316,478
f4:b8:5e:31:73:db,*,0x0800,*,*,*,17,48899,*,610,*,*,4130,70
*,f4:b8:5e:31:73:db,0x0800,*,*,*,17,*,48899,610,*,*,4130,70
*,f4:b8:5e:31:73:db,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,f4:b8:5e:31:73:db,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,f4:b8:5e:31:73:db,0x0800,*,*,*,17,*,*,600,*,*,59,1
*,f4:b8:5e:31:73:db,0x0800,*,*,*,6,*,*,600,*,*,0,0
