srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,726,11
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,334,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.74.255.9,1,*,*,1001,3,3,90,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.88.59.209,1,*,*,1001,3,3,90,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.90.240.160,1,*,*,1001,3,3,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,770,10
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,270,3
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,*,*,*,*,17,53,*,1000,*,*,6083,11
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,0,0
*,0c:8c:24:0b:39:7b,0x0806,*,*,*,*,*,*,1000,*,*,5544,132
0c:8c:24:0b:39:7b,*,0x0806,*,*,*,*,*,*,1000,*,*,5586,133
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.us.xiaoyi.com,6,*,443,855,*,*,13058,111
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.us.xiaoyi.com,6,*,80,855,*,*,444,5
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.eu.xiaoyi.com,6,*,443,855,*,*,5775,48
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,147.161.9.36,17,*,32320,810,*,*,5923585,22530
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,660,6
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,222,3
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.us.xiaoyi.com,*,6,443,*,750,*,*,40491,104
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.us.xiaoyi.com,*,6,80,*,750,*,*,853,4
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,443,*,750,*,*,17258,45
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,147.161.9.36,*,17,32320,*,710,*,*,597990,11667
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,700,*,*,0,0
0c:8c:24:0b:39:7b,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,600,*,*,0,0
