srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,78:a5:dd:28:a1:b7,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,21266,62
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,18312,56
78:a5:dd:28:a1:b7,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,8604,1300,*,*,1590,5
78:a5:dd:28:a1:b7,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1671,5
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,time.nist.gov,17,*,123,1001,*,*,630,7
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,2820,47
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,148.75.151.168,1,*,*,1001,3,3,0,0
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,142.114.225.106,1,*,*,1001,3,3,846,9
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,108.217.254.226,1,*,*,1001,3,3,846,9
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,97.92.245.78,1,*,*,1001,3,3,846,9
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,137.103.138.45,1,*,*,1001,3,3,846,9
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,140.186.44.135,1,*,*,1001,3,3,846,9
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,137.25.1.219,1,*,*,1001,3,3,1786,19
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,146.168.52.52,1,*,*,1001,3,3,1598,17
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,144.172.253.140,1,*,*,1001,3,3,74,1
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,95.222.31.2,1,*,*,1001,3,3,0,0
78:a5:dd:28:a1:b7,8a:60:8a:92:83:f6,0x0800,*,*,137.103.5.11,1,*,*,1001,3,3,846,9
