srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,checkip.dyndns.org,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.nist.gov,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,17,*,67,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,time.nist.gov,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,checkip.dyndns.org,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,1,*,*,1001,0,0
