srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,78:a5:dd:1a:15:19,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,13840,40
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,11118,34
78:a5:dd:1a:15:19,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,1206,20
78:a5:dd:1a:15:19,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,7665,23
78:a5:dd:1a:15:19,*,0x0800,*,*,224.0.0.2,2,*,*,1300,*,*,300,5
78:a5:dd:1a:15:19,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,2760,46
78:a5:dd:1a:15:19,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,5470114,11213
78:a5:dd:1a:15:19,*,0x0800,*,*,239.255.255.239,2,*,*,1300,*,*,11040,184
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,time.nist.gov,17,*,123,1001,*,*,270,3
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,87.123.207.124,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,98.167.15.78,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,104.37.53.147,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.222.83.184,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,107.210.4.43,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.204.243.78,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,99.172.34.67,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,99.7.24.51,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.243.52.217,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,107.11.15.245,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,109.89.42.179,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,117.248.6.138,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,104.228.93.176,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.209.47.209,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,136.24.43.104,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,122.58.91.77,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,109.91.32.181,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.227.245.108,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.231.153.23,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,131.93.174.124,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,time.nuri.net,17,*,123,1001,*,*,270,3
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,8,0,4620,77
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,97.104.217.186,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,130.180.32.106,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,99.137.242.219,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,95.91.219.103,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,109.193.110.30,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,97.89.105.147,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,97.93.255.69,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,99.249.96.73,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,98.30.238.162,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,95.145.247.195,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,104.159.213.168,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,151.51.133.231,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,138.89.253.41,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,p2p4.nwsvr2.com,1,*,*,1001,3,3,990,11
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,p2p3.nwsvr2.com,1,*,*,1001,3,3,450,5
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,109.157.254.155,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,104.244.230.122,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,104.220.30.233,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,109.157.6.30,1,*,*,1001,3,3,1786,19
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,128.223.225.254,1,*,*,1001,3,3,2726,29
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.241.119.19,1,*,*,1001,3,3,846,9
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,121.184.40.103,1,*,*,1001,3,3,1786,19
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,122.58.94.39,1,*,*,1001,3,3,0,0
78:a5:dd:1a:15:19,22:ef:03:1a:97:b9,0x0800,*,*,108.18.47.248,1,*,*,1001,3,3,0,0
