srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,1715,5
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,342,1
78:11:dc:ec:a3:ab,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,270,3
78:11:dc:ec:a3:ab,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,802,15
78:11:dc:ec:a3:ab,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,630,11
78:11:dc:ec:a3:ab,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,18261,73
78:11:dc:ec:a3:ab,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3762,11
78:11:dc:ec:a3:ab,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,770,11
78:11:dc:ec:a3:ab,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,460,11
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,0.ubuntu.pool.ntp.org,17,*,123,1001,*,*,0,0
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,864,11
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,*,*,1,*,*,1000,*,*,62,1
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,*,*,17,123,*,1000,*,*,4320,48
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,4320,48
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,*,*,*,*,17,53,*,1000,*,*,5022,12
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,75,1
*,78:11:dc:ec:a3:ab,0x0806,*,*,*,*,*,*,1000,*,*,1320,22
78:11:dc:ec:a3:ab,*,0x0806,*,*,*,*,*,*,1000,*,*,1086,25
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,de.ott.io.mi.com|de.ot.io.mi.com,6,*,80,855,*,*,742,11
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,de.ott.io.mi.com|de.ot.io.mi.com,6,*,80,855,*,*,742,11
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,de.ott.io.mi.com|de.ot.io.mi.com,6,*,80,855,*,*,742,11
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,de.ott.io.mi.com|de.ot.io.mi.com,17,*,8053,810,*,*,1862,15
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,de.ott.io.mi.com|de.ot.io.mi.com,17,*,8053,810,*,*,4052,34
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,222,3
78:11:dc:ec:a3:ab,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,222,3
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,de.ott.io.mi.com|de.ot.io.mi.com,*,6,80,*,750,*,*,420,6
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,de.ott.io.mi.com|de.ot.io.mi.com,*,6,80,*,750,*,*,420,6
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,de.ott.io.mi.com|de.ot.io.mi.com,*,6,80,*,750,*,*,552,8
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,de.ott.io.mi.com|de.ot.io.mi.com,*,17,8053,*,710,*,*,4052,34
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,de.ott.io.mi.com|de.ot.io.mi.com,*,17,8053,*,710,*,*,1862,15
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,78:11:dc:ec:a3:ab,0x0800,*,*,*,6,*,*,700,*,*,0,0
78:11:dc:ec:a3:ab,*,0x888e,*,*,*,*,*,*,650,*,*,722,6
*,78:11:dc:ec:a3:ab,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,78:11:dc:ec:a3:ab,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,78:11:dc:ec:a3:ab,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,78:11:dc:ec:a3:ab,0x0800,*,*,*,6,*,*,600,*,*,0,0
