srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,de.ott.io.mi.com,17,*,8053,810,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,58,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,0.ubuntu.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,de.ott.io.mi.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,de.ot.io.mi.com,17,*,8053,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,de.ot.io.mi.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,1300,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,0.ubuntu.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,de.ot.io.mi.com,*,17,8053,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,de.ot.io.mi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,de.ott.io.mi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,de.ott.io.mi.com,*,17,8053,*,710,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
