srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,1384,4
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
f0:b4:29:41:ec:d7,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,552,12
f0:b4:29:41:ec:d7,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,162,3
f0:b4:29:41:ec:d7,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,8490,34
f0:b4:29:41:ec:d7,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1026,3
f0:b4:29:41:ec:d7,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,100,5
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,378,5
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,*,*,1,*,*,1000,*,*,62,1
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,*,*,17,123,*,1000,*,*,0,0
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,*,*,*,*,17,53,*,1000,*,*,645,6
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,75,1
*,f0:b4:29:41:ec:d7,0x0806,*,*,*,*,*,*,1000,*,*,2100,50
f0:b4:29:41:ec:d7,*,0x0806,*,*,*,*,*,*,1000,*,*,2100,50
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,us.ott.io.mi.com|us.ot.io.mi.com,6,*,80,855,*,*,742,11
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,us.ott.io.mi.com|us.ot.io.mi.com,6,*,80,855,*,*,742,11
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,us.ott.io.mi.com|us.ot.io.mi.com,17,*,8053,810,*,*,30208,160
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,74,1
f0:b4:29:41:ec:d7,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,148,2
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,us.ott.io.mi.com|us.ot.io.mi.com,*,6,80,*,750,*,*,420,6
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,us.ott.io.mi.com|us.ot.io.mi.com,*,6,80,*,750,*,*,420,6
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,us.ott.io.mi.com|us.ot.io.mi.com,*,17,8053,*,710,*,*,18624,160
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,f0:b4:29:41:ec:d7,0x0800,*,*,*,6,*,*,700,*,*,0,0
f0:b4:29:41:ec:d7,*,0x888e,*,*,*,*,*,*,650,*,*,1083,9
f0:b4:29:41:ec:d7,*,0x0800,*,*,*,17,54321,*,610,*,*,710,7
*,f0:b4:29:41:ec:d7,0x0800,*,*,*,17,*,54321,610,*,*,710,7
*,f0:b4:29:41:ec:d7,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,f0:b4:29:41:ec:d7,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,f0:b4:29:41:ec:d7,0x0800,*,*,*,17,*,*,600,*,*,74,1
*,f0:b4:29:41:ec:d7,0x0800,*,*,*,6,*,*,600,*,*,0,0
