srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,us.ot.io.mi.com,17,*,8053,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,us.ott.io.mi.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,us.ot.io.mi.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,us.ott.io.mi.com,17,*,8053,810,*,*
<gatewayMac>,<deviceMac>,0x0800,us.ot.io.mi.com,*,17,8053,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,us.ot.io.mi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,us.ott.io.mi.com,*,17,8053,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,us.ott.io.mi.com,*,6,80,*,750,*,*
*,<deviceMac>,0x0800,*,*,17,*,54321,610,*,*
<deviceMac>,*,0x0800,*,*,17,54321,*,610,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
