srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,20917,61
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,18900,54
7c:49:eb:88:da:82,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,1019300,2822
7c:49:eb:88:da:82,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,710,13
7c:49:eb:88:da:82,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,5950,17
7c:49:eb:88:da:82,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,280,6
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,114.114.114.114,1,*,*,1001,8,0,232,4
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,754,13
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,363,5
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,62,1
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,*,*,1,*,*,1000,*,*,1326,22
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,178,3
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,*,*,17,123,*,1000,*,*,0,0
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,*,*,*,*,17,53,*,1000,*,*,2751,6
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,72,1
*,7c:49:eb:88:da:82,0x0806,*,*,*,*,*,*,1000,*,*,20280,338
7c:49:eb:88:da:82,*,0x0806,*,*,*,*,*,*,1000,*,*,17622,402
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,ott.io.mi.com,6,*,80,855,*,*,2584,22
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,ott.io.mi.com,6,*,80,855,*,*,118862,969
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,ott.io.mi.com,6,*,80,855,*,*,7884,78
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,ot.io.mi.com,17,*,8053,810,*,*,22568,188
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,ot.io.mi.com,17,*,8053,810,*,*,32678,287
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,124.251.57.5,17,*,8053,810,*,*,17942,159
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,2618,33
7c:49:eb:88:da:82,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,20680,226
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,ott.io.mi.com,*,6,80,*,750,*,*,2568,26
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,ott.io.mi.com,*,6,80,*,750,*,*,127768,1047
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,ott.io.mi.com,*,6,80,*,750,*,*,7782,70
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,ot.io.mi.com,*,17,8053,*,710,*,*,32038,303
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,124.251.57.5,*,17,8053,*,710,*,*,15978,153
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,ot.io.mi.com,*,17,8053,*,710,*,*,22568,188
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,*,*,17,*,*,700,*,*,154,1
8a:60:8a:92:83:f6,7c:49:eb:88:da:82,0x0800,*,*,*,6,*,*,700,*,*,20162,220
7c:49:eb:88:da:82,*,0x888e,*,*,*,*,*,*,650,*,*,3095,27
*,7c:49:eb:88:da:82,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,7c:49:eb:88:da:82,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,7c:49:eb:88:da:82,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,7c:49:eb:88:da:82,0x0800,*,*,*,6,*,*,600,*,*,0,0
