srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,9664,28
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,7700,22
34:ce:00:83:99:35,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,278282,769
34:ce:00:83:99:35,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,230,5
34:ce:00:83:99:35,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1750,5
34:ce:00:83:99:35,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,144,2
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x0800,*,*,*,1,*,*,1000,*,*,186,3
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x0800,*,*,*,17,123,*,1000,*,*,0,0
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,34:ce:00:83:99:35,*,*,*,*,17,53,*,1000,*,*,1080,3
34:ce:00:83:99:35,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,72,1
*,34:ce:00:83:99:35,0x0806,*,*,*,*,*,*,1000,*,*,8190,195
34:ce:00:83:99:35,*,0x0806,*,*,*,*,*,*,1000,*,*,9534,227
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x0800,*,*,ot.io.mi.com,17,*,8053,810,*,*,183552,1240
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,370,5
34:ce:00:83:99:35,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,0,0
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x0800,*,ot.io.mi.com,*,17,8053,*,710,*,*,160176,1232
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,34:ce:00:83:99:35,0x0800,*,*,*,6,*,*,700,*,*,0,0
*,34:ce:00:83:99:35,0x0800,*,*,*,6,*,80,655,*,*,0,0
34:ce:00:83:99:35,*,0x0800,*,*,*,6,80,*,650,*,*,108,2
34:ce:00:83:99:35,*,0x888e,*,*,*,*,*,*,650,*,*,1987,17
34:ce:00:83:99:35,*,0x0800,*,*,*,17,54321,*,610,*,*,18014,243
*,34:ce:00:83:99:35,0x0800,*,*,*,17,*,54321,610,*,*,18014,243
*,34:ce:00:83:99:35,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,34:ce:00:83:99:35,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,34:ce:00:83:99:35,0x0800,*,*,*,17,*,*,600,*,*,74,1
*,34:ce:00:83:99:35,0x0800,*,*,*,6,*,*,600,*,*,74,1
