srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,0c:8c:24:0b:be:fb,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,14063,41
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,10948,34
0c:8c:24:0b:be:fb,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,109296,1656
0c:8c:24:0b:be:fb,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,5582,17
0c:8c:24:0b:be:fb,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,49.51.203.28,1,*,*,1001,3,3,1880,20
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,47.90.240.160,1,*,*,1001,3,3,0,0
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,49.51.69.88,1,*,*,1001,3,3,564,6
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,47.74.255.9,1,*,*,1001,3,3,662,7
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,47.88.59.209,1,*,*,1001,3,3,662,7
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,4903,52
8a:60:8a:92:83:f6,0c:8c:24:0b:be:fb,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,0c:8c:24:0b:be:fb,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,0c:8c:24:0b:be:fb,0x0800,*,*,*,1,*,*,1000,*,*,78488,802
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,474,5
8a:60:8a:92:83:f6,0c:8c:24:0b:be:fb,0x0800,*,*,*,17,123,*,1000,*,*,0,0
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,0c:8c:24:0b:be:fb,*,*,*,*,17,53,*,1000,*,*,18901,53
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,77,1
*,0c:8c:24:0b:be:fb,0x0806,*,*,*,*,*,*,1000,*,*,104400,1740
0c:8c:24:0b:be:fb,*,0x0806,*,*,*,*,*,*,1000,*,*,167154,3346
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,log.eu.xiaoyi.com,6,*,80,855,*,*,1788,11
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,47.254.156.149,6,*,443,855,*,*,4577672,5730
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,170.106.6.47,6,*,443,855,*,*,3696718,3627
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,170.106.6.67,6,*,443,855,*,*,1978502,2047
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,49.51.203.28,6,*,443,855,*,*,550086,684
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,47.88.137.147,6,*,443,855,*,*,4855257,4538
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,motiondetection-eu.oss-eu-central-1.aliyuncs.com,6,*,80,855,*,*,3384368,3032
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,api.eu.xiaoyi.com,6,*,443,855,*,*,33242,263
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,api.eu.xiaoyi.com,6,*,80,855,*,*,1300,17
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,170.106.6.67,17,*,21827,810,*,*,1095481,2340
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,170.106.6.67,17,*,18192,810,*,*,1381887,2854
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,47.254.156.149,17,*,22971,810,*,*,672975,1440
0c:8c:24:0b:be:fb,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,23092,322
