srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,12110,35
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,9660,30
b0:d5:9d:b9:f0:b4,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,47190,715
b0:d5:9d:b9:f0:b4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1646,5
b0:d5:9d:b9:f0:b4,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,47.88.59.209,1,*,*,1001,3,3,630,7
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,47.74.255.9,1,*,*,1001,3,3,450,5
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,1617,21
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,1,*,*,1000,*,*,82604,844
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,180,2
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,17,123,*,1000,*,*,0,0
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,*,*,*,*,17,53,*,1000,*,*,2046,22
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,77,1
*,b0:d5:9d:b9:f0:b4,0x0806,*,*,*,*,*,*,1000,*,*,46788,1114
b0:d5:9d:b9:f0:b4,*,0x0806,*,*,*,*,*,*,1000,*,*,46830,1115
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,api.us.xiaoyi.com,6,*,443,855,*,*,30679,260
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,api.us.xiaoyi.com,6,*,80,855,*,*,1678,20
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,47.88.137.147,17,*,11291,810,*,*,20868,363
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,49.51.203.28,17,*,2793,810,*,*,143407,836
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,170.106.6.47,17,*,7334,810,*,*,278422,1237
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,26172,368
b0:d5:9d:b9:f0:b4,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,148,2
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,api.us.xiaoyi.com,*,6,443,*,750,*,*,80973,204
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,api.us.xiaoyi.com,*,6,80,*,750,*,*,1881,15
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,49.51.203.28,*,17,2793,*,710,*,*,22236,425
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,170.106.6.47,*,17,7334,*,710,*,*,27518,533
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,47.88.137.147,*,17,11291,*,710,*,*,20868,363
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,6,*,*,700,*,*,0,0
b0:d5:9d:b9:f0:b4,*,0x888e,*,*,*,*,*,*,650,*,*,2552,22
b0:d5:9d:b9:f0:b4,*,0x0800,*,*,*,17,25284,*,610,*,*,297118,5757
*,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,17,*,25284,610,*,*,297118,5757
*,b0:d5:9d:b9:f0:b4,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,17,*,*,600,*,*,8072,116
*,b0:d5:9d:b9:f0:b4,0x0800,*,*,*,6,*,*,600,*,*,0,0
